GEO.id,GEO.display-label,GOVTYPE.id,GOVTYPE.display-label,PENITEM.id,PENITEM.display-label,AMOUNT
0100000US,United States,2,State,2,   Earnings on investments,436241574
0100000US,United States,2,State,3,   Total payments,223753689
0100000US,United States,2,State,31,   Benefits,208386611
0100000US,United States,2,State,32,   Withdrawals,4941494
0100000US,United States,2,State,39,   Other payments,10425588
0100000US,United States,2,State,4,   Total cash and investment holdings,3070022417
0100000US,United States,2,State,41,   Total cash and short-term investments,96434760
0100000US,United States,2,State,411,   Cash and demand deposits,21129764
0100000US,United States,2,State,412,"   Time, savings deposits and nonfederal short-term investments",75304996
0100000US,United States,2,State,42,   Total securities,2547059746
0100000US,United States,2,State,421,   Governmental securities,261355287
0100000US,United States,2,State,4211,   Federal government,259814407
0100000US,United States,2,State,42111,   U.S. Treasury,162197687
0100000US,United States,2,State,42112,   Federal agency,97616720
0100000US,United States,2,State,4212,   State and local government,1540881
0100000US,United States,2,State,422,   Nongovernmental securities,2285704459
0100000US,United States,2,State,4221,   Corporate bonds,359348788
0100000US,United States,2,State,4222,   Corporate stocks,1117621598
0100000US,United States,2,State,4223,   Mortgages,8783146
0100000US,United States,2,State,4224,   Funds held in trust,57705365
0100000US,United States,2,State,4225,   Foreign and international securities,629044272
0100000US,United States,2,State,4229,   Other nongovernmental securities,113201290
0100000US,United States,2,State,43,   Total other investments,426527911
0100000US,United States,2,State,431,   Real property,140906351
0100000US,United States,2,State,432,   Miscellaneous investments,285621560
0100000US,United States,2,State,6,   Total Membership,17739416
0100000US,United States,2,State,61,   Active membership,12603931
0100000US,United States,2,State,62,   Inactive membership,5135485
0100000US,United States,2,State,7,   Total beneficiaries receiving periodic benefit payments,8183844
0100000US,United States,2,State,8,   Covered payroll,605158086
0100000US,United States,2,State,9,   Pension obligations,3808162950
0100000US,United States,3,Local,1,   Total Contributions,36135486
0100000US,United States,3,Local,11,   Employee contributions,7314274
0100000US,United States,3,Local,12,   Government contributions,28821212
0100000US,United States,3,Local,121,   State government contributions,876736
0100000US,United States,3,Local,122,   Local government contributions,27944476
0100000US,United States,3,Local,2,   Earnings on investments,98179833
0100000US,United States,3,Local,3,   Total payments,48735083
0100000US,United States,3,Local,31,   Benefits,44589557
0100000US,United States,3,Local,32,   Withdrawals,1369683
0100000US,United States,3,Local,39,   Other payments,2775876
0100000US,United States,3,Local,4,   Total cash and investment holdings,631173260
0100000US,United States,3,Local,41,   Total cash and short-term investments,31508519
0100000US,United States,3,Local,411,   Cash and demand deposits,10562573
0100000US,United States,3,Local,412,"   Time, savings deposits and nonfederal short-term investments",20945945
0100000US,United States,3,Local,42,   Total securities,526492449
0100000US,United States,3,Local,421,   Governmental securities,52934440
0100000US,United States,3,Local,4211,   Federal government,52007070
0100000US,United States,3,Local,42111,   U.S. Treasury,34822451
0100000US,United States,3,Local,42112,   Federal agency,17184620
0100000US,United States,3,Local,4212,   State and local government,927373
0100000US,United States,3,Local,422,   Nongovernmental securities,473558009
0100000US,United States,3,Local,4221,   Corporate bonds,76195443
0100000US,United States,3,Local,4222,   Corporate stocks,230268027
0100000US,United States,3,Local,4223,   Mortgages,824187
0100000US,United States,3,Local,4224,   Funds held in trust,11950998
0100000US,United States,3,Local,4225,   Foreign and international securities,113960102
0100000US,United States,3,Local,4229,   Other nongovernmental securities,40359252
0100000US,United States,3,Local,43,   Total other investments,73172292
0100000US,United States,3,Local,431,   Real property,19540045
0100000US,United States,3,Local,432,   Miscellaneous investments,53632247
0100000US,United States,3,Local,6,   Total Membership,1968542
0100000US,United States,3,Local,61,   Active membership,1660876
0100000US,United States,3,Local,62,   Inactive membership,307666
0100000US,United States,3,Local,7,   Total beneficiaries receiving periodic benefit payments,1376112
0100000US,United States,3,Local,8,   Covered payroll,N
0100000US,United States,3,Local,9,   Pension obligations,N
0400000US01,Alabama,1,State and Local ,1,   Total Contributions,1961081
0400000US01,Alabama,1,State and Local ,11,   Employee contributions,765968
0400000US01,Alabama,1,State and Local ,12,   Government contributions,1195113
0400000US01,Alabama,1,State and Local ,121,   State government contributions,899722
0400000US01,Alabama,1,State and Local ,122,   Local government contributions,295391
0400000US01,Alabama,1,State and Local ,2,   Earnings on investments,4063264
0400000US01,Alabama,1,State and Local ,3,   Total payments,3285591
0400000US01,Alabama,1,State and Local ,31,   Benefits,3126436
0400000US01,Alabama,1,State and Local ,32,   Withdrawals,108040
0400000US01,Alabama,1,State and Local ,39,   Other payments,51115
0400000US01,Alabama,1,State and Local ,4,   Total cash and investment holdings,35739681
0400000US01,Alabama,1,State and Local ,41,   Total cash and short-term investments,1129302
0400000US01,Alabama,1,State and Local ,411,   Cash and demand deposits,174997
0400000US01,Alabama,1,State and Local ,412,"   Time, savings deposits and nonfederal short-term investments",954305
0400000US01,Alabama,1,State and Local ,42,   Total securities,30958484
0400000US01,Alabama,1,State and Local ,421,   Governmental securities,1498830
0400000US01,Alabama,1,State and Local ,4211,   Federal government,1496164
0400000US01,Alabama,1,State and Local ,42111,   U.S. Treasury,1134611
0400000US01,Alabama,1,State and Local ,42112,   Federal agency,361553
0400000US01,Alabama,1,State and Local ,4212,   State and local government,2666
0400000US01,Alabama,1,State and Local ,422,   Nongovernmental securities,29459654
0400000US01,Alabama,1,State and Local ,4221,   Corporate bonds,3380231
0400000US01,Alabama,1,State and Local ,4222,   Corporate stocks,21283314
0400000US01,Alabama,1,State and Local ,4223,   Mortgages,0
0400000US01,Alabama,1,State and Local ,4224,   Funds held in trust,57982
0400000US01,Alabama,1,State and Local ,4225,   Foreign and international securities,4460364
0400000US01,Alabama,1,State and Local ,4229,   Other nongovernmental securities,277763
0400000US01,Alabama,1,State and Local ,43,   Total other investments,3651895
0400000US01,Alabama,1,State and Local ,431,   Real property,3134142
0400000US01,Alabama,1,State and Local ,432,   Miscellaneous investments,517753
0400000US01,Alabama,1,State and Local ,6,   Total Membership,261041
0400000US01,Alabama,1,State and Local ,61,   Active membership,233359
0400000US01,Alabama,1,State and Local ,62,   Inactive membership,27682
0400000US01,Alabama,1,State and Local ,7,   Total beneficiaries receiving periodic benefit payments,132563
0400000US01,Alabama,1,State and Local ,8,   Covered payroll,N
0400000US01,Alabama,1,State and Local ,9,   Pension obligations,N
0400000US01,Alabama,2,State,1,   Total Contributions,1856750
0400000US01,Alabama,2,State,11,   Employee contributions,708216
0400000US01,Alabama,2,State,12,   Government contributions,1148534
0400000US01,Alabama,2,State,121,   State government contributions,898186
0400000US01,Alabama,2,State,122,   Local government contributions,250348
0400000US01,Alabama,2,State,2,   Earnings on investments,3703969
0400000US01,Alabama,2,State,3,   Total payments,3071679
0400000US01,Alabama,2,State,31,   Benefits,2928387
0400000US01,Alabama,2,State,32,   Withdrawals,102832
0400000US01,Alabama,2,State,39,   Other payments,40460
0400000US01,Alabama,2,State,4,   Total cash and investment holdings,33200915
0400000US01,Alabama,2,State,41,   Total cash and short-term investments,1027040
0400000US01,Alabama,2,State,411,   Cash and demand deposits,121666
0400000US01,Alabama,2,State,412,"   Time, savings deposits and nonfederal short-term investments",905374
0400000US01,Alabama,2,State,42,   Total securities,28652400
0400000US01,Alabama,2,State,421,   Governmental securities,1282420
0400000US01,Alabama,2,State,4211,   Federal government,1282420
0400000US01,Alabama,2,State,42111,   U.S. Treasury,979430
0400000US01,Alabama,2,State,42112,   Federal agency,302990
0400000US01,Alabama,2,State,4212,   State and local government,0
0400000US01,Alabama,2,State,422,   Nongovernmental securities,27369980
0400000US01,Alabama,2,State,4221,   Corporate bonds,3068528
0400000US01,Alabama,2,State,4222,   Corporate stocks,19937096
0400000US01,Alabama,2,State,4223,   Mortgages,0
0400000US01,Alabama,2,State,4224,   Funds held in trust,0
0400000US01,Alabama,2,State,4225,   Foreign and international securities,4349865
0400000US01,Alabama,2,State,4229,   Other nongovernmental securities,14491
0400000US01,Alabama,2,State,43,   Total other investments,3521475
0400000US01,Alabama,2,State,431,   Real property,3115880
0400000US01,Alabama,2,State,432,   Miscellaneous investments,405595
0400000US01,Alabama,2,State,6,   Total Membership,248148
0400000US01,Alabama,2,State,61,   Active membership,220750
0400000US01,Alabama,2,State,62,   Inactive membership,27398
0400000US01,Alabama,2,State,7,   Total beneficiaries receiving periodic benefit payments,127035
0400000US01,Alabama,2,State,8,   Covered payroll,9705847
0400000US01,Alabama,2,State,9,   Pension obligations,44685047
0400000US01,Alabama,3,Local,1,   Total Contributions,104331
0400000US01,Alabama,3,Local,11,   Employee contributions,57752
0400000US01,Alabama,3,Local,12,   Government contributions,46579
0400000US01,Alabama,3,Local,121,   State government contributions,1536
0400000US01,Alabama,3,Local,122,   Local government contributions,45043
0400000US01,Alabama,3,Local,2,   Earnings on investments,359295
0400000US01,Alabama,3,Local,3,   Total payments,213912
0400000US01,Alabama,3,Local,31,   Benefits,198049
0400000US01,Alabama,3,Local,32,   Withdrawals,5208
0400000US01,Alabama,3,Local,39,   Other payments,10655
0400000US01,Alabama,3,Local,4,   Total cash and investment holdings,2538766
0400000US01,Alabama,3,Local,41,   Total cash and short-term investments,102262
0400000US01,Alabama,3,Local,411,   Cash and demand deposits,53331
0400000US01,Alabama,3,Local,412,"   Time, savings deposits and nonfederal short-term investments",48931
0400000US01,Alabama,3,Local,42,   Total securities,2306084
0400000US01,Alabama,3,Local,421,   Governmental securities,216410
0400000US01,Alabama,3,Local,4211,   Federal government,213744
0400000US01,Alabama,3,Local,42111,   U.S. Treasury,155181
0400000US01,Alabama,3,Local,42112,   Federal agency,58563
0400000US01,Alabama,3,Local,4212,   State and local government,2666
0400000US01,Alabama,3,Local,422,   Nongovernmental securities,2089674
0400000US01,Alabama,3,Local,4221,   Corporate bonds,311703
0400000US01,Alabama,3,Local,4222,   Corporate stocks,1346218
0400000US01,Alabama,3,Local,4223,   Mortgages,0
0400000US01,Alabama,3,Local,4224,   Funds held in trust,57982
0400000US01,Alabama,3,Local,4225,   Foreign and international securities,110499
0400000US01,Alabama,3,Local,4229,   Other nongovernmental securities,263272
0400000US01,Alabama,3,Local,43,   Total other investments,130420
0400000US01,Alabama,3,Local,431,   Real property,18262
0400000US01,Alabama,3,Local,432,   Miscellaneous investments,112158
0400000US01,Alabama,3,Local,6,   Total Membership,12893
0400000US01,Alabama,3,Local,61,   Active membership,12609
0400000US01,Alabama,3,Local,62,   Inactive membership,284
0400000US01,Alabama,3,Local,7,   Total beneficiaries receiving periodic benefit payments,5528
0400000US01,Alabama,3,Local,8,   Covered payroll,N
0400000US01,Alabama,3,Local,9,   Pension obligations,N
0400000US02,Alaska,1,State and Local ,1,   Total Contributions,805338
0400000US02,Alaska,1,State and Local ,11,   Employee contributions,155416
0400000US02,Alaska,1,State and Local ,12,   Government contributions,649922
0400000US02,Alaska,1,State and Local ,121,   State government contributions,519415
0400000US02,Alaska,1,State and Local ,122,   Local government contributions,130507
0400000US02,Alaska,1,State and Local ,2,   Earnings on investments,1932385
0400000US02,Alaska,1,State and Local ,3,   Total payments,1118908
0400000US02,Alaska,1,State and Local ,31,   Benefits,1079590
0400000US02,Alaska,1,State and Local ,32,   Withdrawals,13786
0400000US02,Alaska,1,State and Local ,39,   Other payments,25532
0400000US02,Alaska,1,State and Local ,4,   Total cash and investment holdings,12032457
0400000US02,Alaska,1,State and Local ,41,   Total cash and short-term investments,137230
0400000US02,Alaska,1,State and Local ,411,   Cash and demand deposits,123709
0400000US02,Alaska,1,State and Local ,412,"   Time, savings deposits and nonfederal short-term investments",13521
0400000US02,Alaska,1,State and Local ,42,   Total securities,6479272
0400000US02,Alaska,1,State and Local ,421,   Governmental securities,893793
0400000US02,Alaska,1,State and Local ,4211,   Federal government,882565
0400000US02,Alaska,1,State and Local ,42111,   U.S. Treasury,852849
0400000US02,Alaska,1,State and Local ,42112,   Federal agency,29716
0400000US02,Alaska,1,State and Local ,4212,   State and local government,11228
0400000US02,Alaska,1,State and Local ,422,   Nongovernmental securities,5585479
0400000US02,Alaska,1,State and Local ,4221,   Corporate bonds,764280
0400000US02,Alaska,1,State and Local ,4222,   Corporate stocks,4134938
0400000US02,Alaska,1,State and Local ,4223,   Mortgages,0
0400000US02,Alaska,1,State and Local ,4224,   Funds held in trust,37575
0400000US02,Alaska,1,State and Local ,4225,   Foreign and international securities,569185
0400000US02,Alaska,1,State and Local ,4229,   Other nongovernmental securities,79501
0400000US02,Alaska,1,State and Local ,43,   Total other investments,5415955
0400000US02,Alaska,1,State and Local ,431,   Real property,5021133
0400000US02,Alaska,1,State and Local ,432,   Miscellaneous investments,394822
0400000US02,Alaska,1,State and Local ,6,   Total Membership,40796
0400000US02,Alaska,1,State and Local ,61,   Active membership,29772
0400000US02,Alaska,1,State and Local ,62,   Inactive membership,11024
0400000US02,Alaska,1,State and Local ,7,   Total beneficiaries receiving periodic benefit payments,44612
0400000US02,Alaska,1,State and Local ,8,   Covered payroll,N
0400000US02,Alaska,1,State and Local ,9,   Pension obligations,N
0400000US02,Alaska,2,State,1,   Total Contributions,794133
0400000US02,Alaska,2,State,11,   Employee contributions,155070
0400000US02,Alaska,2,State,12,   Government contributions,639063
0400000US02,Alaska,2,State,121,   State government contributions,519415
0400000US02,Alaska,2,State,122,   Local government contributions,119648
0400000US02,Alaska,2,State,2,   Earnings on investments,1877813
0400000US02,Alaska,2,State,3,   Total payments,1087886
0400000US02,Alaska,2,State,31,   Benefits,1049321
0400000US02,Alaska,2,State,32,   Withdrawals,13786
0400000US02,Alaska,2,State,39,   Other payments,24779
0400000US02,Alaska,2,State,4,   Total cash and investment holdings,11668252
0400000US02,Alaska,2,State,41,   Total cash and short-term investments,136694
0400000US02,Alaska,2,State,411,   Cash and demand deposits,123173
0400000US02,Alaska,2,State,412,"   Time, savings deposits and nonfederal short-term investments",13521
0400000US02,Alaska,2,State,42,   Total securities,6170509
0400000US02,Alaska,2,State,421,   Governmental securities,893793
0400000US02,Alaska,2,State,4211,   Federal government,882565
0400000US02,Alaska,2,State,42111,   U.S. Treasury,852849
0400000US02,Alaska,2,State,42112,   Federal agency,29716
0400000US02,Alaska,2,State,4212,   State and local government,11228
0400000US02,Alaska,2,State,422,   Nongovernmental securities,5276716
0400000US02,Alaska,2,State,4221,   Corporate bonds,678500
0400000US02,Alaska,2,State,4222,   Corporate stocks,3985513
0400000US02,Alaska,2,State,4223,   Mortgages,0
0400000US02,Alaska,2,State,4224,   Funds held in trust,37575
0400000US02,Alaska,2,State,4225,   Foreign and international securities,495627
0400000US02,Alaska,2,State,4229,   Other nongovernmental securities,79501
0400000US02,Alaska,2,State,43,   Total other investments,5361049
0400000US02,Alaska,2,State,431,   Real property,5021133
0400000US02,Alaska,2,State,432,   Miscellaneous investments,339916
0400000US02,Alaska,2,State,6,   Total Membership,40280
0400000US02,Alaska,2,State,61,   Active membership,29400
0400000US02,Alaska,2,State,62,   Inactive membership,10880
0400000US02,Alaska,2,State,7,   Total beneficiaries receiving periodic benefit payments,43853
0400000US02,Alaska,2,State,8,   Covered payroll,1967045
0400000US02,Alaska,2,State,9,   Pension obligations,19210544
0400000US02,Alaska,3,Local,1,   Total Contributions,11205
0400000US02,Alaska,3,Local,11,   Employee contributions,346
0400000US02,Alaska,3,Local,12,   Government contributions,10859
0400000US02,Alaska,3,Local,121,   State government contributions,0
0400000US02,Alaska,3,Local,122,   Local government contributions,10859
0400000US02,Alaska,3,Local,2,   Earnings on investments,54572
0400000US02,Alaska,3,Local,3,   Total payments,31022
0400000US02,Alaska,3,Local,31,   Benefits,30269
0400000US02,Alaska,3,Local,32,   Withdrawals,0
0400000US02,Alaska,3,Local,39,   Other payments,753
0400000US02,Alaska,3,Local,4,   Total cash and investment holdings,364205
0400000US02,Alaska,3,Local,41,   Total cash and short-term investments,536
0400000US02,Alaska,3,Local,411,   Cash and demand deposits,536
0400000US02,Alaska,3,Local,412,"   Time, savings deposits and nonfederal short-term investments",0
0400000US02,Alaska,3,Local,42,   Total securities,308763
0400000US02,Alaska,3,Local,421,   Governmental securities,0
0400000US02,Alaska,3,Local,4211,   Federal government,0
0400000US02,Alaska,3,Local,42111,   U.S. Treasury,0
0400000US02,Alaska,3,Local,42112,   Federal agency,0
0400000US02,Alaska,3,Local,4212,   State and local government,0
0400000US02,Alaska,3,Local,422,   Nongovernmental securities,308763
0400000US02,Alaska,3,Local,4221,   Corporate bonds,85780
0400000US02,Alaska,3,Local,4222,   Corporate stocks,149425
0400000US02,Alaska,3,Local,4223,   Mortgages,0
0400000US02,Alaska,3,Local,4224,   Funds held in trust,0
0400000US02,Alaska,3,Local,4225,   Foreign and international securities,73558
0400000US02,Alaska,3,Local,4229,   Other nongovernmental securities,0
0400000US02,Alaska,3,Local,43,   Total other investments,54906
0400000US02,Alaska,3,Local,431,   Real property,0
0400000US02,Alaska,3,Local,432,   Miscellaneous investments,54906
0400000US02,Alaska,3,Local,6,   Total Membership,516
0400000US02,Alaska,3,Local,61,   Active membership,372
0400000US02,Alaska,3,Local,62,   Inactive membership,144
0400000US02,Alaska,3,Local,7,   Total beneficiaries receiving periodic benefit payments,759
0400000US02,Alaska,3,Local,8,   Covered payroll,N
0400000US02,Alaska,3,Local,9,   Pension obligations,N
0400000US04,Arizona,1,State and Local ,1,   Total Contributions,3012527
0400000US04,Arizona,1,State and Local ,11,   Employee contributions,1289333
0400000US04,Arizona,1,State and Local ,12,   Government contributions,1723194
0400000US04,Arizona,1,State and Local ,121,   State government contributions,316288
0400000US04,Arizona,1,State and Local ,122,   Local government contributions,1406906
0400000US04,Arizona,1,State and Local ,2,   Earnings on investments,7313612
0400000US04,Arizona,1,State and Local ,3,   Total payments,4354677
0400000US04,Arizona,1,State and Local ,31,   Benefits,3682201
0400000US04,Arizona,1,State and Local ,32,   Withdrawals,314488
0400000US04,Arizona,1,State and Local ,39,   Other payments,357988
0400000US04,Arizona,1,State and Local ,4,   Total cash and investment holdings,45961070
0400000US04,Arizona,1,State and Local ,41,   Total cash and short-term investments,2016548
0400000US04,Arizona,1,State and Local ,411,   Cash and demand deposits,390377
0400000US04,Arizona,1,State and Local ,412,"   Time, savings deposits and nonfederal short-term investments",1626171
0400000US04,Arizona,1,State and Local ,42,   Total securities,33500086
0400000US04,Arizona,1,State and Local ,421,   Governmental securities,312708
0400000US04,Arizona,1,State and Local ,4211,   Federal government,310419
0400000US04,Arizona,1,State and Local ,42111,   U.S. Treasury,197795
0400000US04,Arizona,1,State and Local ,42112,   Federal agency,112624
0400000US04,Arizona,1,State and Local ,4212,   State and local government,2289
0400000US04,Arizona,1,State and Local ,422,   Nongovernmental securities,33187378
0400000US04,Arizona,1,State and Local ,4221,   Corporate bonds,7745718
0400000US04,Arizona,1,State and Local ,4222,   Corporate stocks,22858254
0400000US04,Arizona,1,State and Local ,4223,   Mortgages,0
0400000US04,Arizona,1,State and Local ,4224,   Funds held in trust,59416
0400000US04,Arizona,1,State and Local ,4225,   Foreign and international securities,2104793
0400000US04,Arizona,1,State and Local ,4229,   Other nongovernmental securities,419197
0400000US04,Arizona,1,State and Local ,43,   Total other investments,10444436
0400000US04,Arizona,1,State and Local ,431,   Real property,96228
0400000US04,Arizona,1,State and Local ,432,   Miscellaneous investments,10348208
0400000US04,Arizona,1,State and Local ,6,   Total Membership,477784
0400000US04,Arizona,1,State and Local ,61,   Active membership,256890
0400000US04,Arizona,1,State and Local ,62,   Inactive membership,220894
0400000US04,Arizona,1,State and Local ,7,   Total beneficiaries receiving periodic benefit payments,157344
0400000US04,Arizona,1,State and Local ,8,   Covered payroll,N
0400000US04,Arizona,1,State and Local ,9,   Pension obligations,N
0400000US04,Arizona,2,State,1,   Total Contributions,2714224
0400000US04,Arizona,2,State,11,   Employee contributions,1218137
0400000US04,Arizona,2,State,12,   Government contributions,1496087
0400000US04,Arizona,2,State,121,   State government contributions,313155
0400000US04,Arizona,2,State,122,   Local government contributions,1182932
0400000US04,Arizona,2,State,2,   Earnings on investments,6804596
0400000US04,Arizona,2,State,3,   Total payments,4006687
0400000US04,Arizona,2,State,31,   Benefits,3373283
0400000US04,Arizona,2,State,32,   Withdrawals,291200
0400000US04,Arizona,2,State,39,   Other payments,342204
0400000US04,Arizona,2,State,4,   Total cash and investment holdings,41914755
0400000US04,Arizona,2,State,41,   Total cash and short-term investments,1960860
0400000US04,Arizona,2,State,411,   Cash and demand deposits,355067
0400000US04,Arizona,2,State,412,"   Time, savings deposits and nonfederal short-term investments",1605793
0400000US04,Arizona,2,State,42,   Total securities,29986248
0400000US04,Arizona,2,State,421,   Governmental securities,29104
0400000US04,Arizona,2,State,4211,   Federal government,29104
0400000US04,Arizona,2,State,42111,   U.S. Treasury,0
0400000US04,Arizona,2,State,42112,   Federal agency,29104
0400000US04,Arizona,2,State,4212,   State and local government,0
0400000US04,Arizona,2,State,422,   Nongovernmental securities,29957144
0400000US04,Arizona,2,State,4221,   Corporate bonds,7317677
0400000US04,Arizona,2,State,4222,   Corporate stocks,21451162
0400000US04,Arizona,2,State,4223,   Mortgages,0
0400000US04,Arizona,2,State,4224,   Funds held in trust,0
0400000US04,Arizona,2,State,4225,   Foreign and international securities,1188305
0400000US04,Arizona,2,State,4229,   Other nongovernmental securities,0
0400000US04,Arizona,2,State,43,   Total other investments,9967647
0400000US04,Arizona,2,State,431,   Real property,47575
0400000US04,Arizona,2,State,432,   Miscellaneous investments,9920072
0400000US04,Arizona,2,State,6,   Total Membership,460506
0400000US04,Arizona,2,State,61,   Active membership,241510
0400000US04,Arizona,2,State,62,   Inactive membership,218996
0400000US04,Arizona,2,State,7,   Total beneficiaries receiving periodic benefit payments,145380
0400000US04,Arizona,2,State,8,   Covered payroll,10836734
0400000US04,Arizona,2,State,9,   Pension obligations,55911160
0400000US04,Arizona,3,Local,1,   Total Contributions,298303
0400000US04,Arizona,3,Local,11,   Employee contributions,71196
0400000US04,Arizona,3,Local,12,   Government contributions,227107
0400000US04,Arizona,3,Local,121,   State government contributions,3133
0400000US04,Arizona,3,Local,122,   Local government contributions,223974
0400000US04,Arizona,3,Local,2,   Earnings on investments,509016
0400000US04,Arizona,3,Local,3,   Total payments,347990
0400000US04,Arizona,3,Local,31,   Benefits,308918
0400000US04,Arizona,3,Local,32,   Withdrawals,23288
0400000US04,Arizona,3,Local,39,   Other payments,15784
0400000US04,Arizona,3,Local,4,   Total cash and investment holdings,4046315
0400000US04,Arizona,3,Local,41,   Total cash and short-term investments,55688
0400000US04,Arizona,3,Local,411,   Cash and demand deposits,35310
0400000US04,Arizona,3,Local,412,"   Time, savings deposits and nonfederal short-term investments",20378
0400000US04,Arizona,3,Local,42,   Total securities,3513838
0400000US04,Arizona,3,Local,421,   Governmental securities,283604
0400000US04,Arizona,3,Local,4211,   Federal government,281315
0400000US04,Arizona,3,Local,42111,   U.S. Treasury,197795
0400000US04,Arizona,3,Local,42112,   Federal agency,83520
0400000US04,Arizona,3,Local,4212,   State and local government,2289
0400000US04,Arizona,3,Local,422,   Nongovernmental securities,3230234
0400000US04,Arizona,3,Local,4221,   Corporate bonds,428041
0400000US04,Arizona,3,Local,4222,   Corporate stocks,1407092
0400000US04,Arizona,3,Local,4223,   Mortgages,0
0400000US04,Arizona,3,Local,4224,   Funds held in trust,59416
0400000US04,Arizona,3,Local,4225,   Foreign and international securities,916488
0400000US04,Arizona,3,Local,4229,   Other nongovernmental securities,419197
0400000US04,Arizona,3,Local,43,   Total other investments,476789
0400000US04,Arizona,3,Local,431,   Real property,48653
0400000US04,Arizona,3,Local,432,   Miscellaneous investments,428136
0400000US04,Arizona,3,Local,6,   Total Membership,17278
0400000US04,Arizona,3,Local,61,   Active membership,15380
0400000US04,Arizona,3,Local,62,   Inactive membership,1898
0400000US04,Arizona,3,Local,7,   Total beneficiaries receiving periodic benefit payments,11964
0400000US04,Arizona,3,Local,8,   Covered payroll,N
0400000US04,Arizona,3,Local,9,   Pension obligations,N
0400000US05,Arkansas,1,State and Local ,1,   Total Contributions,1052509
0400000US05,Arkansas,1,State and Local ,11,   Employee contributions,196631
0400000US05,Arkansas,1,State and Local ,12,   Government contributions,855879
0400000US05,Arkansas,1,State and Local ,121,   State government contributions,325682
0400000US05,Arkansas,1,State and Local ,122,   Local government contributions,530197
0400000US05,Arkansas,1,State and Local ,2,   Earnings on investments,4262381
0400000US05,Arkansas,1,State and Local ,3,   Total payments,1634361
0400000US05,Arkansas,1,State and Local ,31,   Benefits,1502149
0400000US05,Arkansas,1,State and Local ,32,   Withdrawals,31793
0400000US05,Arkansas,1,State and Local ,39,   Other payments,100419
0400000US05,Arkansas,1,State and Local ,4,   Total cash and investment holdings,27092099
0400000US05,Arkansas,1,State and Local ,41,   Total cash and short-term investments,686385
0400000US05,Arkansas,1,State and Local ,411,   Cash and demand deposits,154816
0400000US05,Arkansas,1,State and Local ,412,"   Time, savings deposits and nonfederal short-term investments",531569
0400000US05,Arkansas,1,State and Local ,42,   Total securities,14241267
0400000US05,Arkansas,1,State and Local ,421,   Governmental securities,408253
0400000US05,Arkansas,1,State and Local ,4211,   Federal government,406744
0400000US05,Arkansas,1,State and Local ,42111,   U.S. Treasury,215569
0400000US05,Arkansas,1,State and Local ,42112,   Federal agency,191175
0400000US05,Arkansas,1,State and Local ,4212,   State and local government,1509
